BookYear,DateYear,JulianDay,DaysSept1,PrePeak,DateMonth,DateDay,DateFull,TimeHM,IDType,IDNum,IDLocation,Weightkg,BillLength,BillDepth,Flipper,Foot,PC1,BCI
2007,2008,21,163,NA,1,21,1/21/08,8:40:00,BAND,58804,FL ,2.8,4.85,1.54,14.3,11.9,-0.660902133,-0.538036835
2007,2008,21,163,NA,1,21,1/21/08,8:50:00,TT,7635,WLO,2.675,4.42,1.58,14.3,11.4,-1.142272962,-0.882841881
2007,2008,21,163,NA,1,21,1/21/08,8:50:00,TT,7479,WLO,2.175,4.69,1.57,14.2,11.6,-1.028578618,-0.22288441
2007,2008,21,163,NA,1,21,1/21/08,7:50:00,BAND,58849,FL ,3.55,4.81,1.75,14.3,11.4,-1.022932049,-1.719461442
2007,2008,21,163,NA,1,21,1/21/08,8:10:00,BAND,58836,FL ,3.5,4.89,1.63,15.2,12.2,0.52723297,-0.11467011
2007,2008,21,163,NA,1,21,1/21/08,7:30:00,TT,7533,WLO,2.4,4.72,1.61,14.5,11.7,-0.627128165,-0.067252364
2007,2008,21,163,NA,1,21,1/21/08,7:40:00,BAND,58850,FL ,2.55,4.8,1.66,15.5,12.2,0.821650175,1.217647037
2007,2008,21,163,NA,1,21,1/21/08,7:30:00,TT,7677,WLO,3.2,5.04,1.52,14.4,11.4,-0.884683533,-1.198828736
2007,2008,21,163,NA,1,21,1/21/08,8:10:00,BAND,58838,FL ,3.65,5.34,1.83,16,12.4,1.653377082,0.847595063
2007,2008,21,163,NA,1,21,1/21/08,8:20:00,BAND,58840,FL ,2.85,4.88,1.68,15.1,12.2,0.425499854,0.49373884
2007,2008,21,163,NA,1,21,1/21/08,8:00:00,BAND,58803,FL ,2.825,4.62,1.54,14,11.5,-1.334463328,-1.238911186
2007,2008,21,163,NA,1,21,1/21/08,8:20:00,BAND,58839,FL ,2.925,4.75,1.64,14.7,11.5,-0.556647158,-0.570347641
2007,2008,21,163,NA,1,21,1/21/08,8:10:00,BAND,58835,FL ,2.8,4.98,1.63,15,12.3,0.415944695,0.538809994
2007,2008,21,163,NA,1,21,1/21/08,8:00:00,TT,7553,WLO,2.1,4.58,1.49,14.1,11.1,-1.54574404,-0.658110363
2007,2008,21,163,NA,1,21,1/21/08,7:50:00,BAND,58802,FL ,2.675,4.35,1.6,14.7,11.5,-0.664046346,-0.404615266
2007,2008,21,163,NA,1,21,1/21/08,7:20:00,BAND,58848,FL ,2.752,5.91,1.78,15.2,11.7,0.431276303,0.606582862
2008,2009,21,163,NA,1,21,1/21/09,7:50:00,BAND,59802,FL ,3.3,4.96,1.82,16.1,12.4,1.659216673,1.235818844
2008,2009,21,163,NA,1,21,1/21/09,6:55:00,BAND,59795,FL ,3.1,5.45,1.89,15.5,12.6,1.314744005,1.109851427
2008,2009,21,163,NA,1,21,1/21/09,7:30:00,BAND,59799,FL ,2.95,5.08,1.39,15.4,12.2,0.758814145,0.717800505
2008,2009,21,163,NA,1,21,1/21/09,7:00:00,BAND,59796,FL ,2.75,5.08,1.76,15.5,12.7,1.280052712,1.457544324
2008,2009,21,163,NA,1,21,1/21/09,7:15:00,BAND,59798,FL ,3,5.14,1.88,15.6,12.6,1.338596875,1.242956922
2008,2009,21,163,NA,1,21,1/21/09,7:45:00,BAND,59801,FL ,2.9,4.74,1.75,14.9,12.2,0.187804089,0.201416761
2008,2009,21,163,NA,1,21,1/21/09,8:00:00,BAND,59804,FL ,2.9,4.84,1.72,14.2,11.5,-1.048267401,-1.034654728
2008,2009,21,163,NA,1,21,1/21/09,7:55:00,BAND,59803,FL ,3.4,4.93,1.75,15.6,12.8,1.42011559,0.887465136
2008,2009,21,163,NA,1,21,1/21/09,7:20:00,BAND,59800,FL ,3,5.05,1.74,15.5,12.6,1.195062851,1.099422899
2008,2009,21,163,NA,1,21,1/21/09,7:05:00,BAND,59797,FL ,3.3,4.66,1.61,15.5,12,0.629967306,0.206569477
2009,2010,21,163,NA,1,21,1/21/10,8:30:00,BAND,61335,FL ,3.2,4.96,1.61,15.6,12.4,1.112056774,0.79791157
2009,2010,21,163,NA,1,21,1/21/10,8:30:00,BAND,61339,FL ,3.55,4.98,1.79,14.7,12.1,-0.030491736,-0.727021128
2009,2010,21,163,NA,1,21,1/21/10,7:44:00,BAND,61344,FL ,3.2,4.55,1.66,14.6,11.8,-0.485512684,-0.799657888
2009,2010,21,163,NA,1,21,1/21/10,8:20:00,TT,9021,WLO,2.575,4.67,1.59,14,12.1,-0.865793187,-0.497109481
2009,2010,21,163,NA,1,21,1/21/10,7:25:00,BAND,61329,FL ,2.775,4.98,1.62,14.9,11.9,0.00993845,0.160116905
2009,2010,21,163,NA,1,21,1/21/10,9:00:00,BAND,61346,FL ,3.2,4.92,1.78,14.2,11.5,-1.020981544,-1.335126747
2009,2010,21,163,NA,1,21,1/21/10,9:20:00,BAND,61350,FL ,3.3,4.83,1.76,15.5,12,0.690461973,0.267064144
2009,2010,21,163,NA,1,21,1/21/10,9:20:00,BAND,61333,FL ,3.1,4.57,1.65,14.7,11.7,-0.451776873,-0.656669452
2009,2010,21,163,NA,1,21,1/21/10,7:16:00,BAND,61345,FL ,3.25,4.95,1.84,14.8,12.5,0.372260703,0.003489186
2009,2010,21,163,NA,1,21,1/21/10,8:07:00,BAND,61334,FL ,3,5.23,1.84,15,12.3,0.50372522,0.408085268
2009,2010,21,163,NA,1,21,1/21/10,9:00:00,BAND,61337,FL ,2.775,4.35,1.44,15.2,11.6,-0.083161711,0.067016744
2010,2011,21,163,NA,1,21,1/21/11,6:40:00,BAND,62543,FL ,3.1,4.86,1.87,15.1,11.7,0.066383505,-0.138509073
2010,2011,21,163,NA,1,21,1/21/11,7:10:00,BAND,62549,FL ,2.65,4.48,1.71,15.4,11.4,0.039849566,0.326593803
2010,2011,21,163,NA,1,21,1/21/11,8:00:00,BAND,62512,FL ,2.55,4.51,1.6,14.8,10.7,-1.118425038,-0.722428176
2010,2011,21,163,NA,1,21,1/21/11,7:30:00,BAND,62536,FL ,3.05,4.45,1.55,14.9,11.1,-0.734557999,-0.884824264
2010,2011,21,163,NA,1,21,1/21/11,7:40:00,BAND,62518,FL ,3.5,5.09,1.85,15.5,12.2,0.917490917,0.275587837
2010,2011,21,163,NA,1,21,1/21/11,8:10:00,BAND,62530,FL ,3.75,4.77,1.84,16.2,12.1,1.492188675,0.577154031
2010,2011,21,163,NA,1,21,1/21/11,7:50:00,BAND,62516,FL ,3.2,4.56,1.74,14.8,11.7,-0.339558816,-0.65370402
2010,2011,21,163,NA,1,21,1/21/11,8:00:00,BAND,62515,FL ,3.1,4.62,1.69,15.1,11.6,-0.090510868,-0.295403446
2010,2011,21,163,NA,1,21,1/21/11,7:00:00,BAND,62547,FL ,4.1,5.02,1.96,16.5,12.1,1.884147826,0.586728993
2010,2011,21,163,NA,1,21,1/21/11,7:00:00,BAND,62545,FL ,3.25,4.62,1.66,15.6,11.7,0.504888817,0.136117301
2010,2011,21,163,NA,1,21,1/21/11,7:40:00,BAND,62539,FL ,3.7,5.11,1.75,15.7,11.8,0.820809949,-0.039598382
2010,2011,21,163,NA,1,21,1/21/11,6:40:00,BAND,62544,FL ,3.05,4.44,1.51,15.4,11.8,0.30737262,0.157106354
