BookYear,Petrels,DaysSept1,Time
2015,0,5,PM
1995,0,8,PM
1994,0,9,PM
1992,0,10,PM
2015,0,10,PM
1988,0,11,PM
1996,0,13,PM
1989,0,14,PM
2007,0,14,PM
1989,0,15,PM
1998,0,15,PM
2003,1,15,PM
2008,0,15,PM
2015,0,15,PM
1992,0,16,PM
1993,0,16,PM
1995,0,16,PM
1999,0,16,PM
1989,0,17,PM
2010,0,17,PM
1988,0,18,PM
1992,0,18,PM
1993,0,18,PM
1994,0,18,PM
2000,0,18,PM
2010,1,18,PM
1992,0,19,PM
1996,0,19,PM
2007,0,19,PM
2010,0,19,PM
1991,0,20,PM
1994,0,20,PM
1998,0,20,PM
2008,0,20,PM
2010,0,20,PM
2015,0,20,PM
1988,0,21,PM
1989,0,21,PM
1994,0,21,PM
1999,0,21,PM
2009,0,21,PM
2010,0,21,PM
1993,0,22,PM
1994,0,22,PM
1994,0,22,PM
1995,0,22,PM
1991,0,23,PM
1992,0,23,PM
1994,0,23,PM
2000,0,23,PM
2010,0,23,PM
1991,0,24,PM
1993,0,24,PM
1996,0,24,PM
2007,0,24,PM
2010,0,24,PM
1988,0,25,PM
1989,0,25,PM
1991,0,25,PM
1994,0,25,PM
1998,0,25,PM
2001,0,25,PM
2008,0,25,PM
2010,0,25,PM
2015,0,25,PM
1988,0,26,PM
1991,0,26,PM
1993,0,26,PM
1999,1,26,PM
2009,0,26,PM
1991,0,27,PM
1991,0,27,PM
1988,0,28,PM
1991,0,28,PM
1992,0,28,PM
1997,0,28,PM
2000,0,28,PM
1988,0,29,PM
1989,0,29,PM
1991,0,29,PM
1992,0,29,PM
2004,1,29,PM
2007,0,29,PM
1988,0,30,PM
1996,0,30,PM
1998,0,30,PM
2001,0,30,PM
2008,0,30,PM
2015,0,30,PM
1992,0,31,PM
1999,0,31,PM
2009,0,31,PM
1997,0,32,PM
1991,0,33,PM
1993,0,33,PM
2004,1,33,PM
1986,1,34,PM
1995,0,34,PM
1996,0,34,PM
2007,0,34,PM
2019,0,34,PM
1998,0,35,PM
2000,0,35,PM
2001,0,35,PM
2008,1,35,PM
2013,0,35,PM
2015,0,35,PM
2017,0,35,PM
1986,1,36,PM
1993,0,36,PM
1994,0,36,PM
